ODPair_CO_TAZID,CO_TAZID_O,CO_TAZID_D,External
-808927_530154,-808927,530154,3
-808927_530154,-808927,530154,3
-808927_530160,-808927,530160,3
-808927_530160,-808927,530160,3
-808927_530166,-808927,530166,3
-808927_530166,-808927,530166,3
-808927_530171,-808927,530171,3
-808927_530171,-808927,530171,3
-808927_530198,-808927,530198,3
-808927_530198,-808927,530198,3
-808927_530217,-808927,530217,3
-808927_530225,-808927,530225,3
-808927_530225,-808927,530225,3
-808927_530233,-808927,530233,3
-808927_530234,-808927,530234,3
-808927_530247,-808927,530247,3
-808927_530253,-808927,530253,3
-808927_530256,-808927,530256,3
-808927_530259,-808927,530259,3
-808927_530261,-808927,530261,3
-808927_530282,-808927,530282,3
-808927_530285,-808927,530285,3
-808927_530285,-808927,530285,3
-808927_530296,-808927,530296,3
-808927_530296,-808927,530296,3
-808927_530312,-808927,530312,3
-808927_530315,-808927,530315,3
-808927_530315,-808927,530315,3
-808927_530325,-808927,530325,3
-808927_530335,-808927,530335,3
-808927_530355,-808927,530355,3
-808927_530359,-808927,530359,3
-808927_530359,-808927,530359,3
-808927_530378,-808927,530378,3
-808927_530397,-808927,530397,3
-808927_530398,-808927,530398,3
-808927_530429,-808927,530429,3
-808927_530436,-808927,530436,3
-808927_530436,-808927,530436,3
-808927_530479,-808927,530479,3
-808927_530479,-808927,530479,3
-808927_530504,-808927,530504,3
-808927_530504,-808927,530504,3
-808927_530530,-808927,530530,3
-808927_530542,-808927,530542,3
-808927_530560,-808927,530560,3
-808927_530653,-808927,530653,3
-808927_570401,-808927,570401,3
-808927_570415,-808927,570415,3
-808928_21063,-808928,21063,4
-808928_21074,-808928,21074,4
-808928_25031,-808928,25031,5
-808928_25043,-808928,25043,5
-808928_25058,-808928,25058,6
-808928_25058,-808928,25058,6
-808928_25059,-808928,25059,6
-808928_25059,-808928,25059,6
-808928_25092,-808928,25092,6
-808928_25092,-808928,25092,6
-808928_351050,-808928,351050,5
-808928_351492,-808928,351492,5
-808929_351759,-808929,351759,10
-808930_350742,-808930,350742,10
-808932_110616,-808932,110616,5
-808932_21069,-808932,21069,4
-808932_350742,-808932,350742,5
-808932_350742,-808932,350742,5
-808932_530120,-808932,530120,4
-808932_530312,-808932,530312,4
-808932_530382,-808932,530382,4
-808932_57004,-808932,57004,5
-808933_350742,-808933,350742,5
-808934_110492,-808934,110492,3
-808934_110520,-808934,110520,3
-808934_350742,-808934,350742,3
-808934_350742,-808934,350742,3
-808934_350912,-808934,350912,3
-808934_351744,-808934,351744,3
-808934_45113,-808934,45113,3
-808934_492028,-808934,492028,3
-808934_530125,-808934,530125,3
-808934_530131,-808934,530131,3
-808934_530249,-808934,530249,3
-808934_530249,-808934,530249,3
-808934_530308,-808934,530308,3
-808934_530314,-808934,530314,3
-808934_530411,-808934,530411,3
-808934_530504,-808934,530504,3
-808935_350742,-808935,350742,3
-808937_350742,-808937,350742,27
-808938_351334,-808938,351334,27
-808938_530410,-808938,530410,3
-808938_570412,-808938,570412,27
-808940_50482,-808940,50482,24
-808941_50403,-808941,50403,24
-808944_110521,-808944,110521,24
-808944_350742,-808944,350742,24
-808944_492486,-808944,492486,24
