;PrevNode,New_Node,Type
     11229,     80412,Highway
     11230,     80413,Highway
     11231,     80414,Highway
     11232,     80415,Highway
     11233,     80416,Highway
     11234,     80417,Highway
     11235,     80418,Highway
     11236,     80419,Highway
     11237,     80420,Highway
     11238,     80421,Highway
     11239,     80422,Highway
     11240,     80423,Highway
     11241,     80424,Highway
     11242,     80425,Highway
     11243,     80426,Highway
     11244,     80427,Highway
     11245,     80428,Highway
     11246,     80429,Highway
     11247,     80430,Highway
     11248,     80431,Highway
     11249,     80432,Highway
     11250,     80433,Highway
     11251,     80434,Highway
     11252,     80435,Highway
     11253,     80436,Highway
     11254,     80437,Highway
     11255,     80438,Highway
     11256,     80439,Highway
     11257,     80440,Highway
     11258,     80441,Highway
     11259,     80442,Highway
     11260,     80443,Highway
     11261,     80444,Highway
     11262,     80445,Highway
     11263,     80446,Highway
     11264,     80447,Highway
     11265,     80448,Highway
     11266,     80449,Highway
     11267,     80450,Highway
     11268,     80451,Highway
     11269,     80452,Highway
     11270,     80453,Highway
     11271,     80454,Highway
     11272,     80455,Highway
     11273,     80456,Highway
     11274,     80457,Highway
     11275,     80458,Highway
     11276,     80459,Highway
     11277,     80460,Highway
     11278,     80461,Highway
     11279,     80462,Highway
     11280,     80463,Highway
     11281,     80464,Highway
     11282,     80465,Highway
     11283,     80466,Highway
     11284,     80467,Highway
     11285,     80468,Highway
     11286,     80469,Highway
     11287,     80470,Highway
     11288,     80471,Highway
     11289,     80472,Highway
     11290,     80473,Highway
     11291,     80474,Highway
     11292,     80475,Highway
     11293,     80476,Highway
     11294,     80477,Highway
     11295,     80478,Highway
     11296,     80479,Highway
     11297,     80480,Highway
     11298,     80481,Highway
     11299,     80482,Highway
     11300,     80483,Highway
     11301,     80484,Highway
     11302,     80485,Highway
     11303,     80486,Highway
     11304,     80487,Highway
     11305,     80488,Highway
     11306,     80489,Highway
     11307,     80490,Highway
     11308,     80491,Highway
     11309,     80492,Highway
     11310,     80493,Highway
     11311,     80494,Highway
     11312,     80495,Highway
     11313,     80496,Highway
     11314,     80497,Highway
     11315,     80498,Highway
     11316,     80499,Highway
     11317,     80500,Highway
     11318,     80501,Highway
     11319,     80502,Highway
     11320,     80503,Highway
     11321,     80504,Highway
     11322,     80505,Highway
     11323,     80506,Highway
     11324,     80507,Highway
     11325,     80508,Highway
     11326,     80509,Highway
     11327,     80510,Highway
     11328,     80511,Highway
     11329,     80512,Highway
     11330,     80513,Highway
     11331,     80514,Highway
     11332,     80515,Highway
     11333,     80516,Highway
     11334,     80517,Highway
     11335,     80518,Highway
     11336,     80519,Highway
     11337,     80520,Highway
     11338,     80521,Highway
     11339,     80522,Highway
     11340,     80523,Highway
     11341,     80524,Highway
     11342,     80525,Highway
     11343,     80526,Highway
     11344,     80527,Highway
     11345,     80528,Highway
     11346,     80529,Highway
     11347,     80530,Highway
     11348,     80531,Highway
     11349,     80532,Highway
     11350,     80533,Highway
     11351,     80534,Highway
     11352,     80535,Highway
     11353,     80536,Highway
     11354,     80537,Highway
     11355,     80538,Highway
     11356,     80539,Highway
     11357,     80540,Highway
     11358,     80541,Highway
     11359,     80542,Highway
     11360,     80543,Highway
     11361,     80544,Highway
     11362,     80545,Highway
     11363,     80546,Highway
     11364,     80547,Highway
     11365,     80548,Highway
     11366,     80549,Highway
     11367,     80550,Highway
     11368,     80551,Highway
     11369,     80552,Highway
     11370,     80553,Highway
     11371,     80554,Highway
     11372,     80555,Highway
     11373,     80556,Highway
     11374,     80557,Highway
     11375,     80558,Highway
     11376,     80559,Highway
     11377,     80560,Highway
     11378,     80561,Highway
     11379,     80562,Highway
     11380,     80563,Highway
     11381,     80564,Highway
     11382,     80565,Highway
     11383,     80566,Highway
     11384,     80567,Highway
     11385,     80568,Highway
     11386,     80569,Highway
     11387,     80570,Highway
     11388,     80571,Highway
     11389,     80572,Highway
     11390,     80573,Highway
     11391,     80574,Highway
     11392,     80575,Highway
     11393,     80576,Highway
     11394,     80577,Highway
     11395,     80578,Highway
     11396,     80579,Highway
     11397,     80580,Highway
     11398,     80581,Highway
     11399,     80582,Highway
     11400,     80583,Highway
     11401,     80584,Highway
     11402,     80585,Highway
     11403,     80586,Highway
     11404,     80587,Highway
     11405,     80588,Highway
     11406,     80589,Highway
     11407,     80590,Highway
     11408,     80591,Highway
     11409,     80592,Highway
     11410,     80593,Highway
     11411,     80594,Highway
     11412,     80595,Highway
     11413,     80596,Highway
     11414,     80597,Highway
     11415,     80598,Highway
     11416,     80599,Highway
     11417,     80600,Highway
     11418,     80601,Highway
     11419,     80602,Highway
     11420,     80603,Highway
     11421,     80604,Highway
     11422,     80605,Highway
     11423,     80606,Highway
     11424,     80607,Highway
     11425,     80608,Highway
     11426,     80609,Highway
     11427,     80610,Highway
     11428,     80611,Highway
     11429,     80612,Highway
     11430,     80613,Highway
     11431,     80614,Highway
     11432,     80615,Highway
     11433,     80616,Highway
     11434,     80617,Highway
     11435,     80618,Highway
     11436,     80619,Highway
     11437,     80620,Highway
     11438,     80621,Highway
     11439,     80622,Highway
     11440,     80623,Highway
     11441,     80624,Highway
     11442,     80625,Highway
     11443,     80626,Highway
     11444,     80627,Highway
     11445,     80628,Highway
     11446,     80629,Highway
     11447,     80630,Highway
     11448,     80631,Highway
     11449,     80632,Highway
     11450,     80633,Highway
     11451,     80634,Highway
     11452,     80635,Highway
     11453,     80636,Highway
     11454,     80637,Highway
     11455,     80638,Highway
     11458,     80639,Highway
     11459,     80640,Highway
     11460,     80641,Highway
     11461,     80642,Highway
     11462,     80643,Highway
     11463,     80644,Highway
     11464,     80645,Highway
     11465,     80646,Highway
     11466,     80647,Highway
     11467,     80648,Highway
     11468,     80649,Highway
     11469,     80650,Highway
     11470,     80651,Highway
     11471,     80652,Highway
     11472,     80653,Highway
     11473,     80654,Highway
     11474,     80655,Highway
     11475,     80656,Highway
     11476,     80657,Highway
     11477,     80658,Highway
     11478,     80659,Highway
     11479,     80660,Highway
     11480,     80661,Highway
     11481,     80662,Highway
     11482,     80663,Highway
     11483,     80664,Highway
     11484,     80665,Highway
     11485,     80666,Highway
     11486,     80667,Highway
     11487,     80668,Highway
     11488,     80669,Highway
     11489,     80670,Highway
     11490,     80671,Highway
     11491,     80672,Highway
     11492,     80673,Highway
     11493,     80674,Highway
     11494,     80675,Highway
     11495,     80676,Highway
     11496,     80677,Highway
     11497,     80678,Highway
     11498,     80679,Highway
     11499,     80680,Highway
     11500,     80681,Highway
     11501,     80682,Highway
     11502,     80683,Highway
     11503,     80684,Highway
     11504,     80685,Highway
     11505,     80686,Highway
     11506,     80687,Highway
     11507,     80688,Highway
     11508,     80689,Highway
     11509,     80690,Highway
     11510,     80691,Highway
     11511,     80692,Highway
     11512,     80693,Highway
     11513,     80694,Highway
     11514,     80695,Highway
     11515,     80696,Highway
     11516,     80697,Highway
     11517,     80698,Highway
     11518,     80699,Highway
     11519,     80700,Highway
     11520,     80701,Highway
     11521,     80702,Highway
     11522,     80703,Highway
     11523,     80704,Highway
     11524,     80705,Highway
     11525,     80706,Highway
     11526,     80707,Highway
     11527,     80708,Highway
     11528,     80709,Highway
     11529,     80710,Highway
     11530,     80711,Highway
     11531,     80712,Highway
     11532,     80713,Highway
     11533,     80714,Highway
     11534,     80715,Highway
     11535,     80716,Highway
     11536,     80717,Highway
     11537,     80718,Highway
     11538,     80719,Highway
     11539,     80720,Highway
     11540,     80721,Highway
     11541,     80722,Highway
     11542,     80723,Highway
     11543,     80724,Highway
     11544,     80725,Highway
     11545,     80726,Highway
     11546,     80727,Highway
     11547,     80728,Highway
     11548,     80729,Highway
     11549,     80730,Highway
     11550,     80731,Highway
     11551,     80732,Highway
     11552,     80733,Highway
     11553,     80734,Highway
     11554,     80735,Highway
     11555,     80736,Highway
     11556,     80737,Highway
     11557,     80738,Highway
     11558,     80739,Highway
     11559,     80740,Highway
     11560,     80741,Highway
     11561,     80742,Highway
     11562,     80743,Highway
     11563,     80744,Highway
     11564,     80745,Highway
     11565,     80746,Highway
     11566,     80747,Highway
     11567,     80748,Highway
     11568,     80749,Highway
     11569,     80750,Highway
     11570,     80751,Highway
     11571,     80752,Highway
     11572,     80753,Highway
     11573,     80754,Highway
     11574,     80755,Highway
     11575,     80756,Highway
     11576,     80757,Highway
     11577,     80758,Highway
     11578,     80759,Highway
     11579,     80760,Highway
     11580,     80761,Highway
     11581,     80762,Highway
     11582,     80763,Highway
     11583,     80764,Highway
     11584,     80765,Highway
     11585,     80766,Highway
     11586,     80767,Highway
     11587,     80768,Highway
     11588,     80769,Highway
     11589,     80770,Highway
     11590,     80771,Highway
     11591,     80772,Highway
     11592,     80773,Highway
     11593,     80774,Highway
     11594,     80775,Highway
     11595,     80776,Highway
     11596,     80777,Highway
     11597,     80778,Highway
     11598,     80779,Highway
     11599,     80780,Highway
     11600,     80781,Highway
     11601,     80782,Highway
     11602,     80783,Highway
     11603,     80784,Highway
     11604,     80785,Highway
     11605,     80786,Highway
     11606,     80787,Highway
     11607,     80788,Highway
     11608,     80789,Highway
     11609,     80790,Highway
     11610,     80791,Highway
     11611,     80792,Highway
     11612,     80793,Highway
     11613,     80794,Highway
     11614,     80795,Highway
     11615,     80796,Highway
     11616,     80797,Highway
     11617,     80798,Highway
     11618,     80799,Highway
     11619,     80800,Highway
     11620,     80801,Highway
     11621,     80802,Highway
     11622,     80803,Highway
     11623,     80804,Highway
     11624,     80805,Highway
     11625,     80806,Highway
     11626,     80807,Highway
     11627,     80808,Highway
     11628,     80809,Highway
     11629,     80810,Highway
     11630,     80811,Highway
     11631,     80812,Highway
     11632,     80813,Highway
     11633,     80814,Highway
     11634,     80815,Highway
     11635,     80816,Highway
     11636,     80817,Highway
     11637,     80818,Highway
     11638,     80819,Highway
     11639,     80820,Highway
     11640,     80821,Highway
     11641,     80822,Highway
     11642,     80823,Highway
     11643,     80824,Highway
     11644,     80825,Highway
     11645,     80826,Highway
     11646,     80827,Highway
     11647,     80828,Highway
     11648,     80829,Highway
     11649,     80830,Highway
     11650,     80831,Highway
     11651,     80832,Highway
     11652,     80833,Highway
     11653,     80834,Highway
     11654,     80835,Highway
     11655,     80836,Highway
     11656,     80837,Highway
     11657,     80838,Highway
     11658,     80839,Highway
     11659,     80840,Highway
     11660,     80841,Highway
     11661,     80842,Highway
     11662,     80843,Highway
     11663,     80844,Highway
     11664,     80845,Highway
     11665,     80846,Highway
     11666,     80847,Highway
     11667,     80848,Highway
     11668,     80849,Highway
